date,site,phyto
1970-01-01 00:00:00.000045804,LAG,20
1970-01-01 00:00:00.000045805,FAR1,20
1970-01-01 00:00:00.000045805,RIAV1,160
2025-01-06 00:00:00.000000000,ETJ1,20
2025-01-06 00:00:00.000000000,LAL,20
2025-01-06 00:00:00.000000000,L5b,20
2025-01-07 00:00:00.000000000,POR2,20
2025-01-07 00:00:00.000000000,LAG,40
2025-01-08 00:00:00.000000000,RIAV1,20
2025-01-10 00:00:00.000000000,L5b,20
2025-01-13 00:00:00.000000000,LAL,20
2025-01-13 00:00:00.000000000,L5b,20
2025-01-13 00:00:00.000000000,ETJ1,20
2025-01-13 00:00:00.000000000,FAR1,20
2025-01-14 00:00:00.000000000,L7c1,20
2025-01-14 00:00:00.000000000,RIAV1,20
2025-01-14 00:00:00.000000000,POR2,20
2025-01-14 00:00:00.000000000,LAG,40
2025-01-15 00:00:00.000000000,RIAV1,20
2025-01-21 00:00:00.000000000,LAG,20
2025-01-21 00:00:00.000000000,POR2,20
2025-01-22 00:00:00.000000000,LAL,80
2025-01-22 00:00:00.000000000,L5b,20
2025-01-22 00:00:00.000000000,RIAV1,40
2025-01-22 00:00:00.000000000,RIAV1,20
2025-01-22 00:00:00.000000000,ETJ1,20
2025-01-24 00:00:00.000000000,L5b,20
2025-01-27 00:00:00.000000000,FAR1,20
2025-01-28 00:00:00.000000000,POR2,20
2025-01-28 00:00:00.000000000,LAG,20
2025-01-28 00:00:00.000000000,RIAV1,20
2025-01-28 00:00:00.000000000,RIAV1,20
2025-01-28 00:00:00.000000000,L7c1,20
2025-01-29 00:00:00.000000000,LAL,160
2025-01-29 00:00:00.000000000,L5b,20
2025-02-03 00:00:00.000000000,FAR1,20
2025-02-03 00:00:00.000000000,RIAV1,20
2025-02-04 00:00:00.000000000,L7c1,20
2025-02-05 00:00:00.000000000,RIAV1,20
2025-02-05 00:00:00.000000000,ETJ1,20
2025-02-05 00:00:00.000000000,L5b,20
2025-02-05 00:00:00.000000000,LAL,80
2025-02-06 00:00:00.000000000,L5b,20
2025-02-11 00:00:00.000000000,POR2,20
2025-02-11 00:00:00.000000000,ETJ1,20
2025-02-11 00:00:00.000000000,L5b,20
2025-02-11 00:00:00.000000000,LAL,20
2025-02-11 00:00:00.000000000,L7c1,20
2025-02-11 00:00:00.000000000,LAG,20
