date,site,phyto
2022-01-03,L7c1,280
2022-01-03,L5b,20
2022-01-03,FAR1,20
2022-01-04,LAL,1280
2022-01-04,L5b,20
2022-01-04,ETJ1,20
2022-01-04,POR2,20
2022-01-04,LAG,20
2022-01-05,RIAV1,20
2022-01-10,L7c1,20
2022-01-10,FAR1,80
2022-01-10,ETJ1,20
2022-01-10,LAL,120
2022-01-10,L5b,20
2022-01-11,POR2,20
2022-01-11,LAG,20
2022-01-17,FAR1,20
2022-01-17,L7c1,20
2022-01-17,L5b,20
2022-01-18,POR2,160
2022-01-18,LAL,80
2022-01-18,L5b,20
2022-01-18,ETJ1,20
2022-01-18,LAG,20
2022-01-24,L7c1,20
2022-01-24,L5b,20
2022-01-24,ETJ1,20
2022-01-24,LAL,40
2022-01-25,LAG,80
2022-01-25,POR2,20
2022-01-26,FAR1,20
2022-01-26,RIAV1,40
2022-01-31,L7c1,20
2022-01-31,FAR1,20
2022-02-01,LAG,20
2022-02-01,L5b,20
2022-02-01,POR2,20
2022-02-01,ETJ1,20
2022-02-01,LAL,240
2022-02-07,FAR1,20
2022-02-07,LAL,400
2022-02-07,ETJ1,20
2022-02-07,L5b,20
2022-02-07,L7c1,20
2022-02-08,LAG,20
2022-02-09,RIAV1,20
2022-02-14,L7c1,20
2022-02-14,L5b,220
2022-02-15,POR2,80
2022-02-16,LAL,80
2022-02-16,ETJ1,20
2022-02-16,L5b,20
2022-02-16,RIAV1,40
2022-02-16,FAR1,40
2022-02-16,RIAV1,100
2022-02-21,LAG,20
2022-02-21,FAR1,20
2022-02-21,L7c1,20
2022-02-22,RIAV1,20
2022-02-24,LAL,20
2022-02-24,L5b,20
2022-02-28,RIAV1,20
2022-02-28,LAL,120
2022-02-28,L5b,20
2022-02-28,ETJ1,20
2022-02-28,L5b,20
2022-02-28,RIAV1,20
2022-03-07,FAR1,20
2022-03-07,L7c1,20
2022-03-08,RIAV1,20
2022-03-09,LAL,20
2022-03-09,ETJ1,20
2022-03-09,L5b,20
2022-03-15,RIAV1,40
2022-03-15,L7c1,20
2022-03-16,RIAV1,20
2022-03-16,ETJ1,20
2022-03-16,LAL,20
2022-03-16,L5b,20
2022-03-17,L5b,20
2022-03-22,RIAV1,100
2022-03-22,LAL,20
2022-03-22,L5b,20
2022-03-22,ETJ1,20
2022-03-23,L7c1,280
2022-03-28,FAR1,20
2022-03-29,LAG,20
2022-03-29,RIAV1,740
2022-03-29,RIAV1,440
2022-03-29,POR2,40
2022-03-30,LAL,20
2022-03-30,ETJ1,20
2022-03-30,L5b,160
2022-03-31,L5b,20
2022-04-04,LAG,20
2022-04-05,FAR1,20
2022-04-05,RIAV1,40
