date,site,phyto
2023-03-07,LAG,20
2023-03-07,RIAV1,40
2023-03-07,POR2,20
2023-03-07,L7c1,20
2023-03-08,RIAV1,20
2023-03-13,LAL,20
2023-03-13,ETJ1,20
2023-03-13,L5b,20
2023-03-13,RIAV1,80
2023-03-13,L7c1,20
2023-03-14,FAR1,20
2023-03-14,LAG,20
2023-03-14,POR2,20
2023-03-17,L5b,20
2023-03-20,LAL,40
2023-03-20,L5b,20
2023-03-21,RIAV1,20
2023-03-21,POR2,20
2023-03-28,ETJ1,20
2023-03-28,L5b,20
2023-03-28,POR2,20
2023-03-28,L7c1,40
2023-03-28,LAG,20
2023-03-28,LAL,920
2023-03-29,RIAV1,20
2023-03-29,RIAV1,160
2023-03-30,FAR1,20
2023-03-31,L5b,20
2023-04-03,ETJ1,40
2023-04-03,L5b,240
2023-04-03,LAL,3200
2023-04-03,RIAV1,40
2023-04-03,FAR1,160
2023-04-04,POR2,20
2023-04-04,LAG,20
2023-04-04,L7c1,20
2023-04-10,LAL,1400
2023-04-10,L5b,240
2023-04-10,ETJ1,20
2023-04-10,FAR1,20
2023-04-11,RIAV1,40
2023-04-11,LAG,20
2023-04-11,L7c1,1960
2023-04-11,POR2,200
2023-04-18,RIAV1,20
2023-04-18,FAR1,20
2023-04-19,ETJ1,40
2023-04-19,LAL,280
2023-04-19,POR2,120
2023-04-19,L5b,20
2023-04-19,L7c1,900
2023-04-19,LAG,240
2023-04-19,RIAV1,20
2023-04-19,L5b,40
2023-04-24,L5b,20
2023-04-24,ETJ1,80
2023-04-24,LAL,880
2023-04-26,L7c1,20
2023-04-26,LAG,20
2023-04-27,RIAV1,80
2023-04-28,FAR1,20
2023-04-28,RIAV1,20
2023-05-02,LAG,20
2023-05-02,RIAV1,140
2023-05-02,L5b,500
2023-05-02,L7c1,80
2023-05-03,LAL,160
2023-05-03,L5b,20
2023-05-03,ETJ1,20
2023-05-04,RIAV1,40
2023-05-04,FAR1,20
2023-05-08,FAR1,20
2023-05-09,L5b,280
2023-05-09,LAL,80
2023-05-09,RIAV1,20
2023-05-09,POR2,80
2023-05-09,LAG,20
2023-05-15,L7c1,20
2023-05-15,L5b,20
2023-05-15,ETJ1,20
2023-05-15,LAL,20
2023-05-15,RIAV1,20
2023-05-15,FAR1,20
2023-05-17,RIAV1,20
2023-05-19,L5b,20
2023-05-22,LAG,640
2023-05-22,FAR1,20
2023-05-22,ETJ1,20
2023-05-22,LAL,400
2023-05-22,POR2,4480
2023-05-22,L5b,20
2023-05-23,RIAV1,40
2023-05-29,ETJ1,20
2023-05-29,L5b,20
2023-05-29,LAL,20
2023-05-31,POR2,20
2023-05-31,LAG,80
2023-05-31,FAR1,20
2023-05-31,RIAV1,500
2023-05-31,L5b,20
2023-06-05,FAR1,120
2023-06-05,RIAV1,200
2023-06-05,LAL,20
2023-06-05,ETJ1,140
2023-06-05,L5b,180
2023-06-12,ETJ1,40
2023-06-12,LAL,20
2023-06-12,L5b,60
2023-06-12,FAR1,20
2023-06-13,POR2,20
2023-06-13,LAG,20
2023-06-14,RIAV1,20
2023-06-14,L5b,160
2023-06-14,RIAV1,20
2023-06-19,FAR1,120
2023-06-19,L5b,20
2023-06-19,ETJ1,160
2023-06-19,LAL,40
2023-06-20,POR2,20
2023-06-20,LAG,20
2023-06-20,L7c1,240
2023-06-20,RIAV1,40
2023-06-21,RIAV1,20
2023-06-27,POR2,20
2023-06-27,LAG,40
2023-06-27,L7c1,40
2023-06-28,RIAV1,160
2023-06-28,FAR1,40
2023-06-28,RIAV1,60
2023-06-29,ETJ1,60
2023-06-29,L5b,40
2023-06-29,LAL,200
2023-06-30,L5b,20
2023-08-01,LAG,20
2023-08-01,POR2,40
2023-08-01,L7c1,20
2023-08-07,FAR1,20
2023-08-08,LAG,40
2023-08-08,L7c1,20
2023-08-08,POR2,20
2023-08-09,LAL,20
2023-08-09,L5b,20
2023-08-09,ETJ1,20
2023-08-09,RIAV1,300
2023-08-11,L5b,20
2023-08-16,RIAV1,1180
2023-08-16,FAR1,40
2023-08-16,L7c1,20
2023-08-17,ETJ1,20
2023-08-17,L5b,160
2023-08-17,POR2,20
2023-08-17,LAL,160
2023-08-17,LAG,20
2023-08-22,LAG,160
2023-08-22,L7c1,20
2023-08-22,RIAV1,180
2023-08-22,POR2,20
2023-08-23,L5b,20
2023-08-23,LAL,200
2023-08-23,ETJ1,20
2023-08-28,RIAV1,120
2023-08-28,FAR1,40
2023-08-29,L7c1,40
2023-08-29,POR2,20
2023-08-29,LAG,20
2023-08-30,L5b,20
2023-08-30,ETJ1,20
2023-08-30,LAL,1280
2023-08-30,RIAV1,680
2023-09-04,FAR1,40
2023-09-05,RIAV1,280
2023-09-05,LAG,20
2023-09-05,L7c1,20
2023-09-06,L5b,80
2023-09-06,ETJ1,20
2023-09-06,LAL,40
2023-09-08,L5b,20
2023-09-11,LAL,360
2023-09-11,ETJ1,120
2023-09-11,L5b,80
2023-09-11,RIAV1,840
2023-09-12,LAG,20
2023-09-12,L7c1,380
2023-09-12,POR2,20
2023-09-12,POR2,20
2023-09-12,RIAV1,1820
2023-09-13,FAR1,20
2023-09-18,RIAV1,160
2023-09-18,FAR1,20
2023-09-18,L7c1,40
2023-09-18,LAG,20
2023-09-18,POR2,20
2023-09-19,RIAV1,80
2023-09-20,LAL,1000
2023-09-20,L5b,260
2023-09-25,RIAV1,40
2023-09-25,FAR1,20
2023-09-26,RIAV1,240
2023-09-26,L7c1,20
2023-09-26,POR2,20
2023-09-26,LAG,20
2023-09-27,ETJ1,220
2023-09-27,L5b,940
2023-09-27,LAL,1120
2023-09-29,L5b,140
2023-10-02,RIAV1,140
2023-10-02,FAR1,20
2023-10-02,LAG,40
2023-10-02,POR2,20
2023-10-03,ETJ1,40
2023-10-03,L5b,560
2023-10-03,L7c1,680
2023-10-04,LAL,20
2023-10-09,LAL,360
2023-10-09,ETJ1,100
2023-10-09,L5b,260
2023-10-09,RIAV1,60
2023-10-10,LAG,20
2023-10-10,L7c1,60
2023-10-10,POR2,20
2023-10-11,FAR1,280
2023-10-13,L5b,180
2023-10-16,POR2,20
2023-10-16,LAG,120
2023-10-16,FAR1,20
2023-10-17,L7c1,20
2023-10-18,LAL,840
2023-10-23,L5b,180
2023-10-23,FAR1,20
2023-10-23,LAL,160
2023-10-23,ETJ1,20
2023-10-24,LAG,40
2023-10-24,POR2,20
2023-10-24,L7c1,20
2023-10-27,L5b,20
2023-10-30,L5b,20
2023-10-30,LAL,20
2023-10-30,FAR1,40
2023-10-30,ETJ1,20
2023-11-07,LAG,20
2023-11-07,L7c1,20
2023-11-08,LAL,280
2023-11-08,ETJ1,20
2023-11-08,FAR1,20
2023-11-08,L5b,20
2023-11-10,L5b,20
2023-11-13,L7c1,20
2023-11-13,FAR1,20
2023-11-14,ETJ1,20
2023-11-14,LAL,160
2023-11-14,LAG,20
2023-11-14,L5b,20
2023-11-14,RIAV1,20
2023-11-21,POR2,40
2023-11-21,L7c1,20
2023-11-21,LAG,20
2023-11-21,LAL,80
2023-11-21,L5b,20
2023-11-21,ETJ1,20
2023-11-22,RIAV1,20
2023-11-22,FAR1,20
2023-11-24,L5b,20
2023-11-28,RIAV1,20
2023-11-28,LAG,20
2023-11-28,L7c1,20
2023-11-28,LAL,400
2023-11-28,POR2,20
2023-11-28,ETJ1,20
2023-11-28,L5b,20
2023-11-29,FAR1,20
2023-12-04,LAL,2120
2023-12-04,L5b,20
2023-12-04,ETJ1,20
2023-12-05,RIAV1,20
2023-12-05,RIAV1,20
2023-12-05,LAG,20
2023-12-05,L7c1,40
2023-12-06,FAR1,20
2023-12-11,ETJ1,20
2023-12-11,L5b,20
2023-12-11,LAL,3760
2023-12-12,L5b,20
2023-12-12,RIAV1,20
2023-12-12,L7c1,20
2023-12-12,POR2,40
2023-12-12,LAG,40
2023-12-12,RIAV1,20
2023-12-13,FAR1,20
2023-12-19,LAL,3320
2023-12-19,L7c1,20
2023-12-19,POR2,120
2023-12-19,LAG,20
2023-12-19,RIAV1,20
2023-12-20,FAR1,20
2023-12-20,RIAV1,20
2023-12-20,L5b,20
2023-12-20,ETJ1,20
2023-12-27,LAL,1560
2023-12-27,ETJ1,20
2023-12-27,L5b,20
2023-12-27,RIAV1,20
2023-12-27,L5b,20
