date,site,phyto
2023-01-02,ETJ1,20
2023-01-02,FAR1,20
2023-01-02,L5b,20
2023-01-03,LAG,20
2023-01-03,POR2,20
2023-01-03,L7c1,20
2023-01-03,RIAV1,20
2023-01-04,RIAV1,40
2023-01-06,L5b,20
2023-01-09,FAR1,20
2023-01-09,LAG,20
2023-01-09,POR2,20
2023-01-10,RIAV1,20
2023-01-10,L7c1,20
2023-01-11,ETJ1,20
2023-01-11,L5b,20
2023-01-11,LAL,20
2023-01-17,RIAV1,20
2023-01-17,RIAV1,20
2023-01-17,POR2,20
2023-01-17,LAG,20
2023-01-18,L5b,20
2023-01-18,LAL,160
2023-01-18,FAR1,240
2023-01-18,ETJ1,20
2023-01-18,L5b,20
2023-01-23,L5b,20
2023-01-23,LAL,20
2023-01-23,RIAV1,20
2023-01-23,ETJ1,20
2023-01-24,L7c1,20
2023-01-24,LAG,20
2023-01-24,POR2,40
2023-01-25,FAR1,20
2023-01-25,RIAV1,20
2023-01-31,LAG,20
2023-01-31,POR2,20
2023-01-31,RIAV1,20
2023-01-31,RIAV1,20
2023-01-31,L7c1,20
2023-02-01,L5b,20
2023-02-01,ETJ1,20
2023-02-01,LAL,20
2023-02-06,ETJ1,20
2023-02-06,FAR1,20
2023-02-06,RIAV1,20
2023-02-06,LAL,20
2023-02-07,L7c1,20
2023-02-07,LAG,20
2023-02-07,POR2,20
2023-02-08,RIAV1,20
2023-02-14,RIAV1,20
2023-02-15,POR2,20
2023-02-15,RIAV1,20
2023-02-15,LAL,20
2023-02-15,ETJ1,20
2023-02-15,L5b,20
2023-02-16,LAG,20
2023-02-16,FAR1,20
2023-02-17,L5b,20
2023-02-20,LAG,20
2023-02-20,POR2,40
2023-02-22,RIAV1,20
2023-02-22,FAR1,20
2023-02-23,LAL,80
2023-02-23,RIAV1,20
2023-02-24,ETJ1,20
2023-02-24,L5b,20
2023-02-28,RIAV1,20
2023-02-28,POR2,20
2023-02-28,LAG,20
2023-02-28,L7c1,20
2023-03-01,FAR1,20
2023-03-01,L5b,20
2023-03-01,LAL,200
2023-03-01,ETJ1,20
2023-03-03,L5b,20
2023-03-06,LAL,960
2023-03-06,L5b,20
2023-03-06,ETJ1,20
2023-03-06,FAR1,20
