date,site,phyto
2021-03-23,POR2,20
2021-03-24,FAR1,20
2021-03-26,L5b,20
2021-03-29,ETJ1,20
2021-03-29,RIAV1,20
2021-03-29,FAR1,20
2021-03-29,LAG,20
2021-03-29,POR2,40
2021-03-29,LAL,760
2021-03-29,L5b,20
2021-04-05,L5b,20
2021-04-05,LAL,400
2021-04-05,L7c1,20
2021-04-05,ETJ1,20
2021-04-05,FAR1,20
2021-04-06,LAG,20
2021-04-06,POR2,20
2021-04-07,RIAV1,4920
2021-04-09,L5b,20
2021-04-12,LAL,840
2021-04-12,RIAV1,20
2021-04-12,L7c1,80
2021-04-13,POR2,20
2021-04-13,LAG,20
2021-04-14,FAR1,20
2021-04-15,ETJ1,20
2021-04-15,L5b,20
2021-04-20,RIAV1,1640
2021-04-20,LAL,120
2021-04-20,L7c1,20
2021-04-20,LAG,20
2021-04-20,POR2,20
2021-04-20,ETJ1,20
2021-04-20,RIAV1,20
2021-04-20,L5b,660
2021-04-21,FAR1,20
2021-04-23,L5b,20
2021-04-26,LAL,40
2021-04-26,ETJ1,60
2021-04-26,L5b,20
2021-04-26,L7c1,40
2021-04-27,LAG,20
2021-04-27,POR2,20
2021-04-27,RIAV1,60
2021-04-28,FAR1,20
2021-05-04,POR2,20
2021-05-04,LAG,20
2021-05-04,RIAV1,1640
2021-05-05,ETJ1,20
2021-05-05,L5b,40
2021-05-05,LAL,360
2021-05-05,FAR1,20
2021-05-10,L7c1,20
2021-05-11,POR2,20
2021-05-11,LAG,20
2021-05-11,RIAV1,22960
2021-05-12,FAR1,20
2021-05-13,ETJ1,880
2021-05-13,L5b,2500
2021-05-13,LAL,600
2021-05-14,L5b,20
2021-05-17,L7c1,20
2021-05-17,RIAV1,3280
2021-05-18,LAG,20
2021-05-18,RIAV1,20
2021-05-18,ETJ1,20
2021-05-19,LAL,80
2021-05-19,FAR1,20
2021-05-19,L5b,1700
2021-05-24,L7c1,20
2021-05-25,POR2,20
2021-05-25,LAG,40
2021-05-25,RIAV1,600
2021-05-25,LAL,1320
2021-05-25,ETJ1,20
2021-05-25,L5b,20
2021-05-26,FAR1,40
2021-05-28,L5b,20
2021-05-31,ETJ1,20
2021-05-31,LAL,240
2021-05-31,L5b,120
2021-05-31,RIAV1,300
2021-05-31,L7c1,60
2021-06-01,LAG,20
2021-06-02,FAR1,20
2021-06-07,RIAV1,980
2021-06-08,RIAV1,240
2021-06-08,LAG,40
2021-06-08,POR2,20
2021-06-08,ETJ1,20
2021-06-08,LAL,80
2021-06-08,L5b,20
2021-06-09,FAR1,40
2021-06-14,RIAV1,140
2021-06-14,FAR1,20
2021-06-14,L7c1,120
2021-06-15,LAG,20
2021-06-15,POR2,40
2021-06-16,L5b,20
2021-06-16,ETJ1,20
2021-06-21,L7c1,20
2021-06-22,LAG,40
2021-06-22,RIAV1,60
2021-06-22,POR2,20
2021-06-23,L5b,20
2021-06-23,ETJ1,20
2021-06-23,LAL,20
2021-06-23,FAR1,40
2021-06-25,L5b,20
2021-06-28,FAR1,20
2021-06-28,RIAV1,41280
2021-06-28,L7c1,40
2021-06-29,LAG,20
2021-06-30,ETJ1,20
2021-06-30,L5b,40
2021-07-05,L7c1,20
2021-07-06,RIAV1,1660
2021-07-06,POR2,80
2021-07-06,LAG,20
2021-07-07,LAL,40
2021-07-07,ETJ1,20
2021-07-07,L5b,20
2021-07-07,FAR1,20
2021-07-08,L5b,2520
2021-07-12,L7c1,20
2021-07-12,FAR1,40
2021-07-13,RIAV1,26040
2021-07-13,L5b,140
2021-07-13,LAG,20
2021-07-13,ETJ1,2560
2021-07-13,LAL,160
2021-07-19,FAR1,20
2021-07-20,RIAV1,27360
2021-07-20,RIAV1,5400
2021-07-20,POR2,13240
2021-07-20,LAG,40
2021-07-20,L7c1,270600
2021-07-22,L5b,12300
2021-07-22,LAL,120
2021-07-22,ETJ1,12320
2021-07-26,LAG,80
2021-07-27,RIAV1,360
2021-07-28,LAL,160
2021-07-28,L5b,10900
2021-07-28,ETJ1,20
2021-08-02,RIAV1,240
2021-08-02,LAL,120
2021-08-02,L7c1,40
2021-08-02,L5b,80
2021-08-02,ETJ1,20
2021-08-03,POR2,80
2021-08-03,LAG,20
2021-08-04,FAR1,20
2021-08-05,L5b,20
2021-08-09,FAR1,20
2021-08-09,L7c1,20
2021-08-10,RIAV1,145360
2021-08-10,POR2,20
2021-08-10,LAG,20
2021-08-11,ETJ1,40
2021-08-11,LAL,120
2021-08-11,L5b,4200
2021-08-16,ETJ1,2600
2021-08-16,L5b,254320
2021-08-16,LAL,20
2021-08-16,RIAV1,555480
2021-08-16,RIAV1,537376
2021-08-16,L7c1,200
2021-08-17,POR2,440
2021-08-17,LAG,40
2021-08-18,FAR1,20
2021-08-23,LAL,120
2021-08-23,ETJ1,11880
2021-08-23,L5b,27080
2021-08-23,RIAV1,2733300
2021-08-23,RIAV1,3655424
2021-08-23,LAG,40
2021-08-23,L7c1,1820
2021-08-24,POR2,20
2021-08-25,FAR1,40
2021-08-25,L5b,69000
2021-08-30,L7c1,280
2021-08-30,LAL,400
2021-08-30,L5b,80
2021-08-30,ETJ1,2460
2021-08-31,POR2,20
2021-08-31,LAG,20
2021-09-01,L5b,20
2021-09-01,RIAV1,11240
2021-09-01,RIAV1,1560
2021-09-06,L5b,200
2021-09-06,RIAV1,820
2021-09-06,RIAV1,840
2021-09-06,L7c1,320
2021-09-07,ETJ1,40
2021-09-07,LAG,320
2021-09-07,POR2,200
2021-09-07,L5b,380
2021-09-07,LAL,600
2021-09-08,L5b,20
2021-09-08,FAR1,20
2021-09-13,L7c1,720
2021-09-14,ETJ1,40
2021-09-14,LAL,13720
2021-09-14,L5b,20
2021-09-14,POR2,40
2021-09-14,LAG,240
2021-09-15,RIAV1,120
2021-09-15,RIAV1,20
2021-09-16,FAR1,20
2021-09-20,ETJ1,40
2021-09-20,LAL,240
2021-09-20,L5b,120
2021-09-21,POR2,240
2021-09-21,LAG,20
2021-09-21,L7c1,60
2021-09-22,FAR1,20
2021-09-22,RIAV1,100
2021-09-27,L7c1,20
2021-09-27,FAR1,20
2021-09-28,L5b,220
2021-09-28,LAL,160
2021-09-28,RIAV1,20
2021-09-28,ETJ1,40
2021-09-28,LAG,20
2021-09-28,POR2,20
2021-10-04,L5b,20
2021-10-06,L7c1,20
2021-10-06,POR2,20
2021-10-06,RIAV1,100
2021-10-06,ETJ1,20
2021-10-06,L5b,20
2021-10-06,LAG,40
2021-10-06,LAL,240
2021-10-07,FAR1,20
2021-10-11,FAR1,20
2021-10-12,LAG,20
2021-10-12,L7c1,20
2021-10-12,L5b,20
2021-10-12,ETJ1,20
2021-10-12,LAL,920
2021-10-13,RIAV1,40
2021-10-18,FAR1,20
2021-10-18,L7c1,20
2021-10-19,POR2,320
2021-10-19,L5b,20
2021-10-19,ETJ1,20
2021-10-19,LAL,600
2021-10-19,RIAV1,320
2021-10-19,LAG,20
2021-10-20,L5b,120
2021-10-25,FAR1,20
2021-10-25,RIAV1,120
2021-10-25,L7c1,20
2021-10-26,LAG,280
2021-10-27,LAL,1600
2021-10-27,ETJ1,60
2021-10-27,L5b,520
2021-11-01,L7c1,20
2021-11-02,LAG,80
2021-11-02,POR2,20
2021-11-03,LAL,720
2021-11-03,L5b,20
2021-11-03,ETJ1,20
2021-11-03,RIAV1,80
2021-11-04,FAR1,20
2021-11-08,RIAV1,60
2021-11-08,FAR1,20
2021-11-08,RIAV1,20
2021-11-08,L7c1,20
2021-11-08,L5b,80
2021-11-08,LAG,40
2021-11-11,LAL,1280
2021-11-11,L5b,20
2021-11-11,ETJ1,20
2021-11-15,L7c1,20
2021-11-16,LAG,40
2021-11-16,POR2,20
2021-11-17,RIAV1,40
2021-11-17,FAR1,20
2021-11-17,RIAV1,20
2021-11-18,ETJ1,20
2021-11-18,L5b,20
2021-11-19,LAL,3240
2021-11-22,L5b,20
2021-11-22,LAG,20
2021-11-22,L7c1,40
2021-11-22,FAR1,20
2021-11-23,LAL,1960
2021-11-23,ETJ1,20
2021-11-23,L5b,20
2021-11-23,POR2,20
2021-11-23,RIAV1,20
2021-11-24,RIAV1,20
2021-11-29,L5b,20
2021-11-29,ETJ1,20
2021-11-29,RIAV1,20
2021-11-29,RIAV1,20
2021-11-29,L7c1,20
2021-11-29,LAL,840
2021-11-30,POR2,20
2021-11-30,LAG,120
2021-12-02,FAR1,20
2021-12-06,L5b,20
2021-12-06,L7c1,20
2021-12-06,LAG,20
2021-12-06,FAR1,20
2021-12-06,RIAV1,20
2021-12-07,L5b,20
2021-12-07,LAL,1600
2021-12-07,POR2,20
2021-12-07,ETJ1,20
2021-12-13,RIAV1,20
2021-12-13,L7c1,20
2021-12-14,L5b,20
2021-12-14,ETJ1,20
2021-12-14,POR2,20
2021-12-14,LAG,20
2021-12-14,LAL,280
2021-12-15,FAR1,20
2021-12-20,FAR1,40
2021-12-20,LAG,20
2021-12-21,RIAV1,20
2021-12-21,LAL,280
2021-12-21,ETJ1,20
2021-12-21,POR2,20
2021-12-21,L5b,20
2021-12-23,L5b,20
2021-12-27,RIAV1,20
2021-12-27,ETJ1,20
2021-12-27,LAL,400
2021-12-27,L5b,20
2021-12-28,POR2,20
2021-12-28,LAG,20
