date,site,phyto
2021-01-04,L7c1,20
2021-01-05,LAG,20
2021-01-06,LAL,20
2021-01-06,L5b,20
2021-01-06,ETJ1,20
2021-01-07,FAR1,20
2021-01-11,L5b,20
2021-01-11,L7c1,20
2021-01-12,POR2,20
2021-01-12,LAG,20
2021-01-13,FAR1,20
2021-01-13,RIAV1,20
2021-01-13,L5b,20
2021-01-13,ETJ1,20
2021-01-13,LAL,120
2021-01-17,L7c1,20
2021-01-18,RIAV1,20
2021-01-18,FAR1,20
2021-01-19,LAG,20
2021-01-20,ETJ1,20
2021-01-20,L5b,20
2021-01-20,LAL,160
2021-01-24,L7c1,20
2021-01-25,FAR1,20
2021-01-26,POR2,20
2021-01-26,L5b,40
2021-01-26,LAG,20
2021-01-26,L5b,20
2021-01-26,LAL,1800
2021-01-26,ETJ1,20
2021-01-27,RIAV1,20
2021-02-01,L7c1,20
2021-02-01,RIAV1,20
2021-02-01,FAR1,20
2021-02-01,LAG,20
2021-02-03,L5b,20
2021-02-03,ETJ1,20
2021-02-03,LAL,440
2021-02-08,RIAV1,20
2021-02-09,L7c1,20
2021-02-09,POR2,20
2021-02-09,LAG,20
2021-02-09,LAL,480
2021-02-10,FAR1,20
2021-02-10,L5b,20
2021-02-10,ETJ1,20
2021-02-11,L5b,20
2021-02-14,L7c1,20
2021-02-15,RIAV1,20
2021-02-16,LAG,20
2021-02-16,POR2,20
2021-02-17,FAR1,20
2021-02-18,LAL,1080
2021-02-18,L5b,440
2021-02-18,ETJ1,40
2021-02-22,RIAV1,40
2021-02-22,L7c1,100
2021-02-22,RIAV1,20
2021-02-23,LAG,20
2021-02-23,POR2,40
2021-02-24,ETJ1,20
2021-02-24,L5b,220
2021-02-24,LAL,280
2021-02-24,FAR1,20
2021-02-26,L5b,60
2021-03-01,FAR1,40
2021-03-01,RIAV1,820
2021-03-02,L5b,160
2021-03-02,ETJ1,20
2021-03-02,LAG,200
2021-03-02,POR2,20
2021-03-02,LAL,960
2021-03-07,L7c1,580
2021-03-08,RIAV1,560
2021-03-09,POR2,20
2021-03-09,LAG,20
2021-03-10,FAR1,20
2021-03-11,ETJ1,20
2021-03-11,L5b,40
2021-03-11,LAL,240
2021-03-12,L5b,20
2021-03-15,FAR1,20
2021-03-15,RIAV1,20
2021-03-15,L7c1,80
2021-03-16,POR2,20
2021-03-16,LAG,20
2021-03-17,LAL,20
2021-03-17,L5b,80
2021-03-17,ETJ1,20
2021-03-22,L7c1,180
2021-03-22,RIAV1,80
2021-03-22,L5b,140
2021-03-22,LAL,240
2021-03-22,ETJ1,20
2021-03-22,RIAV1,20
2021-03-23,LAG,20
